arm,system,gamma,client,model,bank,carrier_half,probe_index_within_bank,top_routed_class,top1_top2_margin,retained_across_carrier_halves
h0,hfl,0,1,ResNet12,bank_a,ua,44,0,0.058161075622431335,True
h0,hfl,0,1,ResNet12,bank_a,ua,45,7,0.04189856815991597,True
h0,hfl,0,1,ResNet12,bank_a,ua,46,2,0.016754012576825794,False
h0,hfl,0,1,ResNet12,bank_a,ua,47,3,0.09318155263975728,True
h0,hfl,0,1,ResNet12,bank_a,ua,48,5,0.010278522835772783,True
h0,hfl,0,1,ResNet12,bank_a,ua,49,3,0.10312403685721004,True
h0,hfl,0,1,ResNet12,bank_a,ua,50,3,0.06238914904805887,True
h0,hfl,0,1,ResNet12,bank_a,ua,51,3,0.03717966661673121,True
h0,hfl,0,1,ResNet12,bank_a,ua,52,0,0.007463963272837243,True
h0,hfl,0,1,ResNet12,bank_a,ua,53,3,0.01813306596500358,True
h0,hfl,0,1,ResNet12,bank_a,ua,54,3,0.09003722664740342,True
h0,hfl,0,1,ResNet12,bank_a,ua,55,8,0.09362981723594938,True
h0,hfl,0,1,ResNet12,bank_a,ua,56,2,0.03567967669800695,True
h0,hfl,0,1,ResNet12,bank_a,ua,57,3,0.03824793996022277,True
h0,hfl,0,1,ResNet12,bank_a,ua,58,8,0.06735686551823593,True
h0,hfl,0,1,ResNet12,bank_a,ua,59,8,0.07934196534619374,True
h0,hfl,0,1,ResNet12,bank_a,ua,60,5,0.052270975797786,True
h0,hfl,0,1,ResNet12,bank_a,ua,61,8,0.014728791084762854,True
h0,hfl,0,1,ResNet12,bank_a,ua,62,3,0.02544861660182199,False
h0,hfl,0,1,ResNet12,bank_a,ua,63,0,0.0061564145406151904,True
h0,hfl,0,1,ResNet12,bank_a,ub,0,5,0.013430854121218666,False
h0,hfl,0,1,ResNet12,bank_a,ub,1,4,0.01834372950811572,True
h0,hfl,0,1,ResNet12,bank_a,ub,2,0,0.11920406836430497,True
h0,hfl,0,1,ResNet12,bank_a,ub,3,3,0.085899817645362,True
h0,hfl,0,1,ResNet12,bank_a,ub,4,3,0.08145370591218906,True
h0,hfl,0,1,ResNet12,bank_a,ub,5,0,0.008502622518610947,True
h0,hfl,0,1,ResNet12,bank_a,ub,6,4,0.06095599014113161,True
h0,hfl,0,1,ResNet12,bank_a,ub,7,8,0.0659812025658906,True
h0,hfl,0,1,ResNet12,bank_a,ub,8,8,0.0752600346190839,True
h0,hfl,0,1,ResNet12,bank_a,ub,9,3,0.000560403710310034,True
h0,hfl,0,1,ResNet12,bank_a,ub,10,7,0.021646929334313586,True
h0,hfl,0,1,ResNet12,bank_a,ub,11,4,0.014310761655491694,True
h0,hfl,0,1,ResNet12,bank_a,ub,12,8,0.06939817972206613,True
h0,hfl,0,1,ResNet12,bank_a,ub,13,8,0.048318311915701656,True
h0,hfl,0,1,ResNet12,bank_a,ub,14,5,0.005967717279957013,True
h0,hfl,0,1,ResNet12,bank_a,ub,15,3,0.006289714442108248,True
h0,hfl,0,1,ResNet12,bank_a,ub,16,0,0.03244005307076461,True
h0,hfl,0,1,ResNet12,bank_a,ub,17,2,0.016539470907460385,True
h0,hfl,0,1,ResNet12,bank_a,ub,18,3,0.020338500962758493,False
h0,hfl,0,1,ResNet12,bank_a,ub,19,3,0.017568337118340105,True
h0,hfl,0,1,ResNet12,bank_a,ub,20,0,0.019596746768682394,True
h0,hfl,0,1,ResNet12,bank_a,ub,21,2,0.05561230242659923,True
