arm,system,gamma,client,model,bank,carrier_half,class_index,positive_routing_energy,total_routing_norm_sq,positive_profile_share,total_profile_share,cross_half_positive_profile_cosine,cross_bank_positive_profile_cosine,probe_top_class_count,probe_top_class_fraction,mean_margin_when_top
l9,local,9,0,ResNet10,bank_a,ua,9,0.003341558386141858,0.01646892230037255,0.016258853327178937,0.04944684133053521,0.9995850089513605,0.996968745769541,2,0.03125,0.004044851492747831
l9,local,9,0,ResNet10,bank_a,ub,0,0.07318935294903559,0.07360762892305188,0.3592765520434595,0.2213670087280381,0.9995850089513605,0.9968509862281971,13,0.203125,0.06626699622383715
l9,local,9,0,ResNet10,bank_a,ub,1,0.00320342310123339,0.016329686008437615,0.015725167120263003,0.04910977025132593,0.9995850089513605,0.9968509862281971,1,0.015625,0.000537732960777193
l9,local,9,0,ResNet10,bank_a,ub,2,0.0055203897432504955,0.009478176651100982,0.027098840377400152,0.02850459448494847,0.9995850089513605,0.9968509862281971,1,0.015625,0.0030176310082702523
l9,local,9,0,ResNet10,bank_a,ub,3,0.0003049700509248347,0.012132907315861002,0.001497056388093627,0.03648841076642198,0.9995850089513605,0.9968509862281971,0,0.0,0.0
l9,local,9,0,ResNet10,bank_a,ub,4,0.0969277900450385,0.09740494674386665,0.475805302293394,0.29293487660829837,0.9995850089513605,0.9968509862281971,33,0.515625,0.08221993115331133
l9,local,9,0,ResNet10,bank_a,ub,5,0.004321056926149321,0.05684415850494994,0.021211479143578002,0.17095267862870198,0.9995850089513605,0.9968509862281971,4,0.0625,0.1580182044713152
l9,local,9,0,ResNet10,bank_a,ub,6,0.0114816329225274,0.017036428601847082,0.05636177014854548,0.051235222410738634,0.9995850089513605,0.9968509862281971,6,0.09375,0.09478533481425583
l9,local,9,0,ResNet10,bank_a,ub,7,0.00218014803411057,0.01882808314339072,0.010702049370281984,0.05662343029541499,0.9995850089513605,0.9968509862281971,3,0.046875,0.07326239830001584
l9,local,9,0,ResNet10,bank_a,ub,8,0.003243204846736636,0.014721395051282228,0.01592045028349344,0.044273008579216906,0.9995850089513605,0.9968509862281971,0,0.0,0.0
l9,local,9,0,ResNet10,bank_a,ub,9,0.003341166937424006,0.016130586267339472,0.016401332826581842,0.048510999243887326,0.9995850089513605,0.9968509862281971,3,0.046875,0.002546272224235165
l9,local,9,0,ResNet10,bank_b,ua,0,0.07059917530920076,0.07085369025033263,0.3200634168344369,0.19943510132362705,0.9996571942973067,0.996968745769541,12,0.1875,0.07784678421454146
l9,local,9,0,ResNet10,bank_b,ua,1,0.00376489298283508,0.013886795835757665,0.017068251956551535,0.039087795212640324,0.9996571942973067,0.996968745769541,4,0.0625,0.0014384857796410563
l9,local,9,0,ResNet10,bank_b,ua,2,0.004622966494755936,0.010656317955213709,0.020958353206568858,0.029994822339191502,0.9996571942973067,0.996968745769541,0,0.0,0.0
l9,local,9,0,ResNet10,bank_b,ua,3,0.00025710842056833437,0.013058855377555018,0.001165608510632022,0.036757353585843054,0.9996571942973067,0.996968745769541,0,0.0,0.0
l9,local,9,0,ResNet10,bank_b,ua,4,0.11643353226624971,0.11713166081076062,0.5278548086153334,0.32969580779018204,0.9996571942973067,0.996968745769541,36,0.5625,0.12186528237400829
l9,local,9,0,ResNet10,bank_b,ua,5,0.005368600691434539,0.06963730592357796,0.02433870754714502,0.1960112890903094,0.9996571942973067,0.996968745769541,3,0.046875,0.25664618216661855
