arm,client,model,class,binding_family,generic_strength,harmful_positive_strength,harmful_diagonal_signed,valid_instance_support,generic_rank,harmful_rank,target_maps_new_class_from_old_class
l9,2,ShuffleNet,1,3,0.0014138184631726895,0.4559392748651442,0.35542973722005694,2800,9,6,6
l9,2,ShuffleNet,2,0,0.047054540710018314,1.8574510853250172,1.8327399605570915,3200,1,0,9
l9,2,ShuffleNet,3,1,0.004445064420494176,0.659583078023347,0.5892892132302965,3200,5,5,0
l9,2,ShuffleNet,4,2,0.021464500632771822,0.9146021016889017,0.7063071756112489,2800,2,2,5
l9,2,ShuffleNet,5,3,0.0028645910524052447,0.8263161170665805,0.6426971729215949,2800,7,4,4
l9,2,ShuffleNet,6,0,0.057088470697930674,1.7576372666279485,1.750949086538645,3200,0,1,1
l9,2,ShuffleNet,7,1,0.003437517652569576,0.8448143319842365,0.7822973801206171,3200,6,3,8
l9,2,ShuffleNet,8,2,0.009537860444166647,0.40865286311605187,0.31983919119466775,2800,3,8,7
l9,2,ShuffleNet,9,3,0.002559630365160723,0.43604552404410235,0.31228785224984273,2800,8,7,2
l9,3,Mobilenetv2,0,3,0.001860326180991128,0.453066928054397,0.3351012548518506,2800,9,7,5
l9,3,Mobilenetv2,1,0,0.01230908342012689,1.2995190143139792,1.270807896250579,2800,2,2,8
l9,3,Mobilenetv2,2,1,0.0028399355689385517,0.5297379418853538,0.4994649910599923,3200,8,5,9
l9,3,Mobilenetv2,3,2,0.007006717765078413,0.3223933194550145,0.27645079141722567,3200,4,9,7
l9,3,Mobilenetv2,4,3,0.004140836855854764,0.5194244012122827,0.48869187108420575,2800,6,6,6
l9,3,Mobilenetv2,5,0,0.11239630952521305,2.0790256994373095,2.0780277957308484,2800,0,0,0
l9,3,Mobilenetv2,6,1,0.008340622932530193,0.6031470297509509,0.5729369445899787,3200,3,4,4
l9,3,Mobilenetv2,7,2,0.005366862312668882,0.36300926495440244,0.3154077189865417,3200,5,8,3
l9,3,Mobilenetv2,8,3,0.0028923707544342625,0.7634097531508559,0.7050921161519224,2800,7,3,1
l9,3,Mobilenetv2,9,0,0.021253916145927067,1.4399508842317361,1.4321402813830122,2800,1,1,2
