system,client,architecture,half,arm,mode,lambda,readout_gain,weighted_lambda
l9,0,ResNet10,u2,frozen,9,0.09418439845411733,0.7487939010389011,0.07052470313546076
l9,0,ResNet10,u2,frozen,10,0.06785755468281743,0.5690488271099605,0.03861426190280726
l9,0,ResNet10,u2,frozen,11,0.041391308034150504,2.494039861878259,0.10323157217245318
l9,0,ResNet10,u2,frozen,12,0.03960965477248172,0.24225265538934304,0.00959554404768886
l9,0,ResNet10,u2,frozen,13,0.03184222735565733,1.0857724685971404,0.03457341380158346
l9,0,ResNet10,u2,frozen,14,0.024822289635206437,1.6718099394633241,0.04149815053237557
l9,0,ResNet10,u2,frozen,15,0.01916521218665493,0.17608460808755802,0.003374698876802024
l9,0,ResNet10,u2,frozen,16,0.014656678021041246,0.5172974591957202,0.007581862300534393
l9,0,ResNet10,u2,frozen,17,0.013559216449554495,0.6215809360515486,0.00842815045283964
l9,0,ResNet10,u2,frozen,18,0.012024475822461874,0.35923616966888094,0.004319626636737271
l9,0,ResNet10,u2,frozen,19,0.008359795792139111,0.1848608339306713,0.0015453988216249529
l9,0,ResNet10,u2,frozen,20,0.006776764422068605,0.44286392749294196,0.0030011845076517393
l9,0,ResNet10,u2,frozen,21,0.006598995609997003,0.34485276923147146,0.0022756819102537898
l9,0,ResNet10,u2,frozen,22,0.005348402138303573,0.24549634106002555,0.0013130131554711438
l9,0,ResNet10,u2,frozen,23,0.004669280658614031,0.5755495792948575,0.002687402518674921
l9,0,ResNet10,u2,frozen,24,0.00432971193661082,0.05256162379014509,0.00022757668993183844
l9,0,ResNet10,u2,frozen,25,0.003729347520992379,0.07697278515369342,0.00028705826549680556
l9,0,ResNet10,u2,frozen,26,0.0034007568365850005,0.22784301317656422,0.0007748386847283271
l9,0,ResNet10,u2,frozen,27,0.0030154755839081598,0.4378724242497967,0.0013203936041919372
l9,0,ResNet10,u2,frozen,28,0.0028916244878304906,0.29634424903744866,0.0008569162873444239
l9,0,ResNet10,u2,frozen,29,0.002500155896488742,0.2141396158215225,0.0005353824231680134
l9,0,ResNet10,u2,frozen,30,0.0021356724794429184,0.272057294764413,0.0005810252772600468
l9,0,ResNet10,u2,frozen,31,0.0019809476631063535,0.18205265469093695,0.0003606367808723195
l9,0,ResNet10,u2,frozen,32,0.0017310933784105318,0.17701866488965215,0.00030643583864554974
